time,count
2014-09-30 19:59:54 -0400,
2014-09-30 20:04:54 -0400,19
2014-09-30 20:14:54 -0400,1
2014-09-30 20:24:54 -0400,1
2014-09-30 20:34:54 -0400,1
2014-09-30 20:44:54 -0400,1
2014-09-30 20:54:54 -0400,1
2014-09-30 21:04:54 -0400,1
2014-09-30 21:14:54 -0400,1
2014-09-30 21:24:54 -0400,1
2014-09-30 21:34:54 -0400,1
2014-09-30 21:44:54 -0400,1
2014-09-30 21:54:54 -0400,1
2014-09-30 22:04:54 -0400,1
2014-09-30 22:14:54 -0400,1
2014-09-30 22:24:54 -0400,1
2014-09-30 22:34:54 -0400,1
2014-09-30 22:44:54 -0400,1
2014-09-30 22:54:54 -0400,1
2014-09-30 23:04:54 -0400,1
2014-09-30 23:14:54 -0400,1
2014-09-30 23:24:54 -0400,1
2014-09-30 23:34:54 -0400,1
2014-09-30 23:44:54 -0400,1
2014-09-30 23:54:54 -0400,1
2014-10-01 00:04:54 -0400,1
2014-10-01 00:14:54 -0400,1
