time,count,min_since_create
2014-09-30 19:59:50 -0400,,0
2014-09-30 20:00:50 -0400,0,2
2014-09-30 20:02:50 -0400,0,4
2014-09-30 20:04:50 -0400,0,6
2014-09-30 20:06:50 -0400,0,8
2014-09-30 20:08:50 -0400,1,10
2014-09-30 20:10:50 -0400,0,12
2014-09-30 20:12:50 -0400,0,14
2014-09-30 20:14:50 -0400,0,16
2014-09-30 20:16:50 -0400,0,18
2014-09-30 20:18:50 -0400,1,20
2014-09-30 20:20:50 -0400,0,22
2014-09-30 20:22:50 -0400,1,24
2014-09-30 20:24:50 -0400,0,26
2014-09-30 20:26:50 -0400,0,28
2014-09-30 20:28:50 -0400,1,30
2014-09-30 20:30:50 -0400,0,32
2014-09-30 20:32:50 -0400,1,34
2014-09-30 20:34:50 -0400,1,36
2014-09-30 20:36:50 -0400,1,38
2014-09-30 20:38:50 -0400,1,40
2014-09-30 20:40:50 -0400,0,42
2014-09-30 20:42:50 -0400,1,44
2014-09-30 20:44:50 -0400,0,46
2014-09-30 20:46:50 -0400,0,48
2014-09-30 20:48:50 -0400,0,50
2014-09-30 20:50:50 -0400,1,52
2014-09-30 20:52:50 -0400,0,54
2014-09-30 20:54:50 -0400,1,56
2014-09-30 20:56:50 -0400,2,58
2014-09-30 20:58:50 -0400,1,60
2014-09-30 21:00:50 -0400,0,62
2014-09-30 21:02:50 -0400,1,64
2014-09-30 21:04:50 -0400,1,66
2014-09-30 21:06:50 -0400,0,68
2014-09-30 21:08:50 -0400,1,70
2014-09-30 21:10:50 -0400,0,72
2014-09-30 21:12:50 -0400,0,74
2014-09-30 21:14:50 -0400,1,76
2014-09-30 21:16:50 -0400,1,78
2014-09-30 21:18:50 -0400,0,80
2014-09-30 21:20:50 -0400,0,82
2014-09-30 21:22:50 -0400,2,84
2014-09-30 21:24:50 -0400,2,86
2014-09-30 21:26:50 -0400,2,88
2014-09-30 21:28:50 -0400,3,90
2014-09-30 21:30:50 -0400,1,92
2014-09-30 21:32:50 -0400,0,94
2014-09-30 21:34:50 -0400,0,96
2014-09-30 21:36:50 -0400,0,98
2014-09-30 21:38:50 -0400,1,100
2014-09-30 21:40:50 -0400,1,102
2014-09-30 21:42:50 -0400,1,104
2014-09-30 21:44:50 -0400,0,106
2014-09-30 21:46:50 -0400,1,108
2014-09-30 21:48:50 -0400,0,110
2014-09-30 21:50:50 -0400,0,112
2014-09-30 21:52:50 -0400,0,114
2014-09-30 21:54:50 -0400,0,116
2014-09-30 21:56:50 -0400,0,118
2014-09-30 21:58:50 -0400,0,120
2014-09-30 22:00:50 -0400,0,122
2014-09-30 22:02:50 -0400,1,124
2014-09-30 22:04:50 -0400,0,126
2014-09-30 22:06:50 -0400,0,128
2014-09-30 22:08:50 -0400,0,130
2014-09-30 22:10:50 -0400,0,132
2014-09-30 22:12:50 -0400,0,134
2014-09-30 22:14:50 -0400,0,136
2014-09-30 22:16:50 -0400,1,138
2014-09-30 22:18:50 -0400,0,140
2014-09-30 22:20:50 -0400,1,142
2014-09-30 22:22:50 -0400,0,144
2014-09-30 22:24:50 -0400,1,146
2014-09-30 22:26:50 -0400,0,148
2014-09-30 22:28:50 -0400,0,150
2014-09-30 22:30:50 -0400,0,152
2014-09-30 22:32:50 -0400,0,154
2014-09-30 22:34:50 -0400,0,156
2014-09-30 22:36:50 -0400,0,158
2014-09-30 22:38:50 -0400,0,160
2014-09-30 22:40:50 -0400,0,162
2014-09-30 22:42:50 -0400,1,164
2014-09-30 22:44:50 -0400,1,166
2014-09-30 22:46:50 -0400,0,168
2014-09-30 22:48:50 -0400,0,170
2014-09-30 22:50:50 -0400,0,172
2014-09-30 22:52:50 -0400,0,174
2014-09-30 22:54:50 -0400,0,176
2014-09-30 22:56:50 -0400,0,178
2014-09-30 22:58:50 -0400,0,180
2014-09-30 23:00:50 -0400,0,182
2014-09-30 23:02:50 -0400,0,184
2014-09-30 23:04:50 -0400,0,186
2014-09-30 23:06:50 -0400,0,188
2014-09-30 23:08:50 -0400,0,190
2014-09-30 23:10:50 -0400,0,192
2014-09-30 23:12:50 -0400,0,194
2014-09-30 23:14:50 -0400,0,196
2014-09-30 23:16:50 -0400,0,198
2014-09-30 23:18:50 -0400,0,200
2014-09-30 23:20:50 -0400,0,202
2014-09-30 23:22:50 -0400,0,204
2014-09-30 23:24:50 -0400,0,206
2014-09-30 23:26:50 -0400,0,208
2014-09-30 23:28:50 -0400,0,210
2014-09-30 23:30:50 -0400,0,212
2014-09-30 23:32:50 -0400,0,214
2014-09-30 23:34:50 -0400,0,216
2014-09-30 23:36:50 -0400,0,218
2014-09-30 23:38:50 -0400,1,220
2014-09-30 23:40:50 -0400,0,222
2014-09-30 23:42:50 -0400,0,224
2014-09-30 23:44:50 -0400,0,226
2014-09-30 23:46:50 -0400,0,228
2014-09-30 23:48:50 -0400,0,230
2014-09-30 23:50:50 -0400,0,232
2014-09-30 23:52:50 -0400,0,234
2014-09-30 23:54:50 -0400,0,236
2014-09-30 23:56:50 -0400,0,238
2014-09-30 23:58:50 -0400,0,240
2014-10-01 00:00:50 -0400,0,242
2014-10-01 00:02:50 -0400,0,244
2014-10-01 00:04:50 -0400,0,246
2014-10-01 00:06:50 -0400,0,248
2014-10-01 00:08:50 -0400,0,250
2014-10-01 00:10:50 -0400,0,252
2014-10-01 00:12:50 -0400,0,254
2014-10-01 00:14:50 -0400,0,256
2014-10-01 00:16:50 -0400,0,258
2014-10-01 00:18:50 -0400,0,260
2014-10-01 00:20:50 -0400,0,262
2014-10-01 00:22:50 -0400,0,264
2014-10-01 00:24:50 -0400,0,266
2014-10-01 00:26:50 -0400,0,268
2014-10-01 00:28:50 -0400,0,270
2014-10-01 00:30:50 -0400,0,272
2014-10-01 00:32:50 -0400,0,274
2014-10-01 00:34:50 -0400,0,276
2014-10-01 00:36:50 -0400,0,278
2014-10-01 00:38:50 -0400,0,280
2014-10-01 00:40:50 -0400,0,282
2014-10-01 00:42:50 -0400,0,284
2014-10-01 00:44:50 -0400,0,286
2014-10-01 00:46:50 -0400,0,288
2014-10-01 00:48:50 -0400,0,290
2014-10-01 00:50:50 -0400,0,292
2014-10-01 00:52:50 -0400,0,294
2014-10-01 00:54:50 -0400,0,296
2014-10-01 00:56:50 -0400,0,298
