created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,retweet_count,favorite_count,entities,extended_entities,favorited,retweeted,possibly_sensitive,lang
Wed Oct 01 00:04:53 +0000 2014,517102815890919425,517102815890919425,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:04:25 +0000 2014,517102700815998977,517102700815998977,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:04:22 +0000 2014,517102688589598720,517102688589598720,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:04:10 +0000 2014,517102635389042689,517102635389042689,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:03:55 +0000 2014,517102574785146881,517102574785146881,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:03:23 +0000 2014,517102437782802433,517102437782802433,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:03:19 +0000 2014,517102421567627265,517102421567627265,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:03:11 +0000 2014,517102388734619648,517102388734619648,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:02:54 +0000 2014,517102317435637760,517102317435637760,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:02:53 +0000 2014,517102312142422016,517102312142422016,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:02:43 +0000 2014,517102272762109954,517102272762109954,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:02:39 +0000 2014,517102252532981760,517102252532981760,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:01:58 +0000 2014,517102083288600576,517102083288600576,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:01:53 +0000 2014,517102062333853696,517102062333853696,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:01:28 +0000 2014,517101956607664128,517101956607664128,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:01:04 +0000 2014,517101855969910785,517101855969910785,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:00:55 +0000 2014,517101819508424704,517101819508424704,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:00:47 +0000 2014,517101786508062720,517101786508062720,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:00:26 +0000 2014,517101697639149569,517101697639149569,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:00:13 +0000 2014,517101642735710208,517101642735710208,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:00:09 +0000 2014,517101626533113856,517101626533113856,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
