created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,retweet_count,favorite_count,entities,favorited,retweeted,lang
Tue Oct 07 16:27:14 +0000 2014,519524358751285249,519524358751285249,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Tue Oct 07 15:26:13 +0000 2014,519509004884926464,519509004884926464,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Sat Oct 04 07:30:04 +0000 2014,518302015836160000,518302015836160000,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Fri Oct 03 18:26:56 +0000 2014,518104934274072576,518104934274072576,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Fri Oct 03 18:25:40 +0000 2014,518104612306681858,518104612306681858,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Thu Oct 02 22:04:41 +0000 2014,517797341995085827,517797341995085827,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Thu Oct 02 21:33:16 +0000 2014,517789436722307072,517789436722307072,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Thu Oct 02 14:11:19 +0000 2014,517678216610590720,517678216610590720,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Thu Oct 02 13:53:40 +0000 2014,517673774779760640,517673774779760640,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 20:54:47 +0000 2014,517417363051126784,517417363051126784,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 19:25:39 +0000 2014,517394932894801920,517394932894801920,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 04:55:04 +0000 2014,517175844658499586,517175844658499586,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 04:23:41 +0000 2014,517167947140567040,517167947140567040,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 03:34:28 +0000 2014,517155562086473728,517155562086473728,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 02:15:44 +0000 2014,517135746357293056,517135746357293056,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 02:06:50 +0000 2014,517133505743319040,517133505743319040,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 02:01:19 +0000 2014,517132117739057153,517132117739057153,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 01:24:51 +0000 2014,517122943042600962,517122943042600962,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 01:23:50 +0000 2014,517122686796197888,517122686796197888,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 01:16:06 +0000 2014,517120738466480128,517120738466480128,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 01:07:10 +0000 2014,517118491757772800,517118491757772800,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 00:57:52 +0000 2014,517116151743004672,517116151743004672,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 00:38:40 +0000 2014,517111319171186688,517111319171186688,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 00:32:51 +0000 2014,517109854562185216,517109854562185216,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 00:22:02 +0000 2014,517107133889118208,517107133889118208,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 00:08:27 +0000 2014,517103712578568192,517103712578568192,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 00:07:04 +0000 2014,517103367215398913,517103367215398913,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 00:05:23 +0000 2014,517102941270851584,517102941270851584,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 00:05:12 +0000 2014,517102897696632832,517102897696632832,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 00:03:21 +0000 2014,517102431550066689,517102431550066689,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
Wed Oct 01 00:02:45 +0000 2014,517102278533074945,517102278533074945,RT @thegabrielconte: Just realized this... I shouldn't ever turn my hat backwards unless I'm about to have a Pokemon battle. #letsbereal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,45,0,,false,false,en
