time,count,min_since_create
2014-09-30 19:59:58 -0400,,0
2014-09-30 20:00:58 -0400,9,2
2014-09-30 20:02:58 -0400,8,4
2014-09-30 20:04:58 -0400,6,6
2014-09-30 20:06:58 -0400,4,8
2014-09-30 20:08:58 -0400,3,10
2014-09-30 20:10:58 -0400,2,12
2014-09-30 20:12:58 -0400,2,14
2014-09-30 20:14:58 -0400,3,16
2014-09-30 20:16:58 -0400,0,18
2014-09-30 20:18:58 -0400,3,20
2014-09-30 20:20:58 -0400,0,22
2014-09-30 20:22:58 -0400,2,24
2014-09-30 20:24:58 -0400,2,26
2014-09-30 20:26:58 -0400,1,28
2014-09-30 20:28:58 -0400,0,30
2014-09-30 20:30:58 -0400,2,32
2014-09-30 20:32:58 -0400,1,34
2014-09-30 20:34:58 -0400,0,36
2014-09-30 20:36:58 -0400,2,38
2014-09-30 20:38:58 -0400,1,40
2014-09-30 20:40:58 -0400,1,42
2014-09-30 20:42:58 -0400,0,44
2014-09-30 20:44:58 -0400,1,46
2014-09-30 20:46:58 -0400,1,48
2014-09-30 20:48:58 -0400,0,50
2014-09-30 20:50:58 -0400,0,52
2014-09-30 20:52:58 -0400,0,54
2014-09-30 20:54:58 -0400,0,56
2014-09-30 20:56:58 -0400,0,58
2014-09-30 20:58:58 -0400,0,60
2014-09-30 21:00:58 -0400,1,62
2014-09-30 21:02:58 -0400,1,64
2014-09-30 21:04:58 -0400,0,66
2014-09-30 21:06:58 -0400,0,68
2014-09-30 21:08:58 -0400,0,70
2014-09-30 21:10:58 -0400,0,72
2014-09-30 21:12:58 -0400,0,74
2014-09-30 21:14:58 -0400,0,76
2014-09-30 21:16:58 -0400,0,78
2014-09-30 21:18:58 -0400,1,80
2014-09-30 21:20:58 -0400,0,82
2014-09-30 21:22:58 -0400,0,84
2014-09-30 21:24:58 -0400,0,86
2014-09-30 21:26:58 -0400,0,88
2014-09-30 21:28:58 -0400,0,90
2014-09-30 21:30:58 -0400,0,92
2014-09-30 21:32:58 -0400,0,94
2014-09-30 21:34:58 -0400,2,96
2014-09-30 21:36:58 -0400,0,98
2014-09-30 21:38:58 -0400,0,100
2014-09-30 21:40:58 -0400,0,102
2014-09-30 21:42:58 -0400,0,104
2014-09-30 21:44:58 -0400,0,106
2014-09-30 21:46:58 -0400,1,108
2014-09-30 21:48:58 -0400,0,110
2014-09-30 21:50:58 -0400,0,112
2014-09-30 21:52:58 -0400,0,114
2014-09-30 21:54:58 -0400,0,116
2014-09-30 21:56:58 -0400,0,118
2014-09-30 21:58:58 -0400,0,120
2014-09-30 22:00:58 -0400,1,122
2014-09-30 22:02:58 -0400,0,124
2014-09-30 22:04:58 -0400,0,126
2014-09-30 22:06:58 -0400,0,128
2014-09-30 22:08:58 -0400,0,130
2014-09-30 22:10:58 -0400,0,132
2014-09-30 22:12:58 -0400,0,134
2014-09-30 22:14:58 -0400,0,136
2014-09-30 22:16:58 -0400,0,138
2014-09-30 22:18:58 -0400,0,140
2014-09-30 22:20:58 -0400,0,142
2014-09-30 22:22:58 -0400,0,144
2014-09-30 22:24:58 -0400,0,146
2014-09-30 22:26:58 -0400,1,148
2014-09-30 22:28:58 -0400,0,150
2014-09-30 22:30:58 -0400,0,152
2014-09-30 22:32:58 -0400,0,154
2014-09-30 22:34:58 -0400,0,156
