time,count,min_since_create
2014-09-30 19:59:54 -0400,,0
2014-09-30 20:00:54 -0400,5,2
2014-09-30 20:02:54 -0400,5,4
2014-09-30 20:04:54 -0400,1,6
2014-09-30 20:06:54 -0400,1,8
2014-09-30 20:08:54 -0400,1,10
2014-09-30 20:10:54 -0400,2,12
2014-09-30 20:12:54 -0400,0,14
2014-09-30 20:14:54 -0400,0,16
2014-09-30 20:16:54 -0400,0,18
2014-09-30 20:18:54 -0400,1,20
2014-09-30 20:20:54 -0400,0,22
2014-09-30 20:22:54 -0400,3,24
2014-09-30 20:24:54 -0400,2,26
2014-09-30 20:26:54 -0400,1,28
2014-09-30 20:28:54 -0400,0,30
2014-09-30 20:30:54 -0400,1,32
2014-09-30 20:32:54 -0400,0,34
2014-09-30 20:34:54 -0400,1,36
2014-09-30 20:36:54 -0400,0,38
2014-09-30 20:38:54 -0400,0,40
2014-09-30 20:40:54 -0400,0,42
2014-09-30 20:42:54 -0400,0,44
2014-09-30 20:44:54 -0400,0,46
2014-09-30 20:46:54 -0400,1,48
2014-09-30 20:48:54 -0400,0,50
2014-09-30 20:50:54 -0400,1,52
2014-09-30 20:52:54 -0400,0,54
2014-09-30 20:54:54 -0400,2,56
2014-09-30 20:56:54 -0400,1,58
2014-09-30 20:58:54 -0400,0,60
2014-09-30 21:00:54 -0400,0,62
2014-09-30 21:02:54 -0400,0,64
2014-09-30 21:04:54 -0400,0,66
2014-09-30 21:06:54 -0400,0,68
2014-09-30 21:08:54 -0400,0,70
2014-09-30 21:10:54 -0400,1,72
2014-09-30 21:12:54 -0400,0,74
2014-09-30 21:14:54 -0400,0,76
2014-09-30 21:16:54 -0400,1,78
2014-09-30 21:18:54 -0400,1,80
2014-09-30 21:20:54 -0400,0,82
2014-09-30 21:22:54 -0400,0,84
2014-09-30 21:24:54 -0400,0,86
2014-09-30 21:26:54 -0400,0,88
2014-09-30 21:28:54 -0400,0,90
2014-09-30 21:30:54 -0400,0,92
2014-09-30 21:32:54 -0400,0,94
2014-09-30 21:34:54 -0400,0,96
2014-09-30 21:36:54 -0400,0,98
2014-09-30 21:38:54 -0400,0,100
2014-09-30 21:40:54 -0400,0,102
2014-09-30 21:42:54 -0400,0,104
2014-09-30 21:44:54 -0400,1,106
2014-09-30 21:46:54 -0400,0,108
2014-09-30 21:48:54 -0400,1,110
2014-09-30 21:50:54 -0400,0,112
2014-09-30 21:52:54 -0400,0,114
2014-09-30 21:54:54 -0400,0,116
2014-09-30 21:56:54 -0400,0,118
2014-09-30 21:58:54 -0400,0,120
2014-09-30 22:00:54 -0400,0,122
2014-09-30 22:02:54 -0400,0,124
2014-09-30 22:04:54 -0400,0,126
2014-09-30 22:06:54 -0400,0,128
2014-09-30 22:08:54 -0400,0,130
2014-09-30 22:10:54 -0400,0,132
2014-09-30 22:12:54 -0400,0,134
2014-09-30 22:14:54 -0400,0,136
2014-09-30 22:16:54 -0400,0,138
2014-09-30 22:18:54 -0400,0,140
2014-09-30 22:20:54 -0400,0,142
2014-09-30 22:22:54 -0400,0,144
2014-09-30 22:24:54 -0400,1,146
2014-09-30 22:26:54 -0400,0,148
2014-09-30 22:28:54 -0400,0,150
2014-09-30 22:30:54 -0400,0,152
2014-09-30 22:32:54 -0400,0,154
2014-09-30 22:34:54 -0400,1,156
2014-09-30 22:36:54 -0400,0,158
2014-09-30 22:38:54 -0400,0,160
2014-09-30 22:40:54 -0400,0,162
2014-09-30 22:42:54 -0400,0,164
2014-09-30 22:44:54 -0400,0,166
2014-09-30 22:46:54 -0400,0,168
2014-09-30 22:48:54 -0400,0,170
2014-09-30 22:50:54 -0400,0,172
2014-09-30 22:52:54 -0400,0,174
2014-09-30 22:54:54 -0400,0,176
2014-09-30 22:56:54 -0400,0,178
2014-09-30 22:58:54 -0400,0,180
2014-09-30 23:00:54 -0400,0,182
2014-09-30 23:02:54 -0400,0,184
2014-09-30 23:04:54 -0400,0,186
2014-09-30 23:06:54 -0400,0,188
2014-09-30 23:08:54 -0400,0,190
2014-09-30 23:10:54 -0400,0,192
2014-09-30 23:12:54 -0400,1,194
2014-09-30 23:14:54 -0400,0,196
2014-09-30 23:16:54 -0400,0,198
2014-09-30 23:18:54 -0400,0,200
2014-09-30 23:20:54 -0400,0,202
2014-09-30 23:22:54 -0400,0,204
2014-09-30 23:24:54 -0400,0,206
2014-09-30 23:26:54 -0400,0,208
2014-09-30 23:28:54 -0400,0,210
2014-09-30 23:30:54 -0400,0,212
2014-09-30 23:32:54 -0400,0,214
2014-09-30 23:34:54 -0400,0,216
2014-09-30 23:36:54 -0400,0,218
2014-09-30 23:38:54 -0400,0,220
2014-09-30 23:40:54 -0400,0,222
2014-09-30 23:42:54 -0400,0,224
2014-09-30 23:44:54 -0400,0,226
2014-09-30 23:46:54 -0400,0,228
2014-09-30 23:48:54 -0400,0,230
2014-09-30 23:50:54 -0400,0,232
2014-09-30 23:52:54 -0400,0,234
2014-09-30 23:54:54 -0400,0,236
2014-09-30 23:56:54 -0400,0,238
2014-09-30 23:58:54 -0400,0,240
2014-10-01 00:00:54 -0400,0,242
2014-10-01 00:02:54 -0400,0,244
2014-10-01 00:04:54 -0400,0,246
2014-10-01 00:06:54 -0400,0,248
2014-10-01 00:08:54 -0400,0,250
2014-10-01 00:10:54 -0400,0,252
2014-10-01 00:12:54 -0400,0,254
2014-10-01 00:14:54 -0400,0,256
2014-10-01 00:16:54 -0400,0,258
2014-10-01 00:18:54 -0400,0,260
2014-10-01 00:20:54 -0400,0,262
2014-10-01 00:22:54 -0400,0,264
2014-10-01 00:24:54 -0400,0,266
2014-10-01 00:26:54 -0400,0,268
2014-10-01 00:28:54 -0400,0,270
2014-10-01 00:30:54 -0400,0,272
2014-10-01 00:32:54 -0400,0,274
2014-10-01 00:34:54 -0400,0,276
2014-10-01 00:36:54 -0400,0,278
2014-10-01 00:38:54 -0400,0,280
2014-10-01 00:40:54 -0400,0,282
2014-10-01 00:42:54 -0400,0,284
2014-10-01 00:44:54 -0400,0,286
2014-10-01 00:46:54 -0400,1,288
2014-10-01 00:48:54 -0400,0,290
2014-10-01 00:50:54 -0400,0,292
2014-10-01 00:52:54 -0400,0,294
2014-10-01 00:54:54 -0400,0,296
2014-10-01 00:56:54 -0400,0,298
2014-10-01 00:58:54 -0400,0,300
2014-10-01 01:00:54 -0400,0,302
2014-10-01 01:02:54 -0400,0,304
2014-10-01 01:04:54 -0400,0,306
2014-10-01 01:06:54 -0400,0,308
2014-10-01 01:08:54 -0400,0,310
2014-10-01 01:10:54 -0400,0,312
2014-10-01 01:12:54 -0400,0,314
2014-10-01 01:14:54 -0400,0,316
2014-10-01 01:16:54 -0400,0,318
2014-10-01 01:18:54 -0400,0,320
2014-10-01 01:20:54 -0400,0,322
2014-10-01 01:22:54 -0400,0,324
2014-10-01 01:24:54 -0400,0,326
2014-10-01 01:26:54 -0400,0,328
2014-10-01 01:28:54 -0400,0,330
2014-10-01 01:30:54 -0400,0,332
2014-10-01 01:32:54 -0400,0,334
2014-10-01 01:34:54 -0400,0,336
2014-10-01 01:36:54 -0400,0,338
2014-10-01 01:38:54 -0400,0,340
2014-10-01 01:40:54 -0400,0,342
2014-10-01 01:42:54 -0400,0,344
2014-10-01 01:44:54 -0400,1,346
2014-10-01 01:46:54 -0400,0,348
2014-10-01 01:48:54 -0400,0,350
2014-10-01 01:50:54 -0400,0,352
2014-10-01 01:52:54 -0400,0,354
2014-10-01 01:54:54 -0400,0,356
2014-10-01 01:56:54 -0400,0,358
2014-10-01 01:58:54 -0400,0,360
2014-10-01 02:00:54 -0400,0,362
2014-10-01 02:02:54 -0400,0,364
2014-10-01 02:04:54 -0400,0,366
2014-10-01 02:06:54 -0400,0,368
2014-10-01 02:08:54 -0400,0,370
2014-10-01 02:10:54 -0400,0,372
2014-10-01 02:12:54 -0400,0,374
2014-10-01 02:14:54 -0400,0,376
2014-10-01 02:16:54 -0400,0,378
2014-10-01 02:18:54 -0400,0,380
2014-10-01 02:20:54 -0400,1,382
2014-10-01 02:22:54 -0400,0,384
2014-10-01 02:24:54 -0400,0,386
2014-10-01 02:26:54 -0400,0,388
2014-10-01 02:28:54 -0400,0,390
2014-10-01 02:30:54 -0400,0,392
2014-10-01 02:32:54 -0400,0,394
2014-10-01 02:34:54 -0400,0,396
2014-10-01 02:36:54 -0400,0,398
2014-10-01 02:38:54 -0400,0,400
2014-10-01 02:40:54 -0400,0,402
2014-10-01 02:42:54 -0400,0,404
2014-10-01 02:44:54 -0400,0,406
2014-10-01 02:46:54 -0400,0,408
2014-10-01 02:48:54 -0400,0,410
2014-10-01 02:50:54 -0400,0,412
2014-10-01 02:52:54 -0400,0,414
2014-10-01 02:54:54 -0400,0,416
2014-10-01 02:56:54 -0400,0,418
2014-10-01 02:58:54 -0400,0,420
2014-10-01 03:00:54 -0400,0,422
2014-10-01 03:02:54 -0400,0,424
2014-10-01 03:04:54 -0400,0,426
2014-10-01 03:06:54 -0400,0,428
2014-10-01 03:08:54 -0400,0,430
2014-10-01 03:10:54 -0400,0,432
2014-10-01 03:12:54 -0400,0,434
2014-10-01 03:14:54 -0400,0,436
2014-10-01 03:16:54 -0400,0,438
2014-10-01 03:18:54 -0400,0,440
2014-10-01 03:20:54 -0400,0,442
2014-10-01 03:22:54 -0400,0,444
2014-10-01 03:24:54 -0400,0,446
2014-10-01 03:26:54 -0400,0,448
2014-10-01 03:28:54 -0400,0,450
2014-10-01 03:30:54 -0400,0,452
2014-10-01 03:32:54 -0400,0,454
2014-10-01 03:34:54 -0400,1,456
2014-10-01 03:36:54 -0400,0,458
2014-10-01 03:38:54 -0400,0,460
2014-10-01 03:40:54 -0400,0,462
2014-10-01 03:42:54 -0400,0,464
2014-10-01 03:44:54 -0400,0,466
2014-10-01 03:46:54 -0400,0,468
2014-10-01 03:48:54 -0400,0,470
2014-10-01 03:50:54 -0400,0,472
2014-10-01 03:52:54 -0400,0,474
2014-10-01 03:54:54 -0400,0,476
2014-10-01 03:56:54 -0400,0,478
2014-10-01 03:58:54 -0400,0,480
2014-10-01 04:00:54 -0400,0,482
2014-10-01 04:02:54 -0400,0,484
2014-10-01 04:04:54 -0400,0,486
2014-10-01 04:06:54 -0400,0,488
2014-10-01 04:08:54 -0400,0,490
2014-10-01 04:10:54 -0400,0,492
2014-10-01 04:12:54 -0400,0,494
2014-10-01 04:14:54 -0400,0,496
2014-10-01 04:16:54 -0400,0,498
2014-10-01 04:18:54 -0400,0,500
2014-10-01 04:20:54 -0400,0,502
2014-10-01 04:22:54 -0400,0,504
2014-10-01 04:24:54 -0400,0,506
2014-10-01 04:26:54 -0400,0,508
2014-10-01 04:28:54 -0400,0,510
2014-10-01 04:30:54 -0400,0,512
2014-10-01 04:32:54 -0400,0,514
2014-10-01 04:34:54 -0400,0,516
2014-10-01 04:36:54 -0400,0,518
2014-10-01 04:38:54 -0400,0,520
2014-10-01 04:40:54 -0400,0,522
2014-10-01 04:42:54 -0400,0,524
2014-10-01 04:44:54 -0400,0,526
2014-10-01 04:46:54 -0400,0,528
2014-10-01 04:48:54 -0400,0,530
2014-10-01 04:50:54 -0400,0,532
2014-10-01 04:52:54 -0400,0,534
2014-10-01 04:54:54 -0400,0,536
2014-10-01 04:56:54 -0400,0,538
2014-10-01 04:58:54 -0400,0,540
2014-10-01 05:00:54 -0400,0,542
2014-10-01 05:02:54 -0400,0,544
2014-10-01 05:04:54 -0400,0,546
2014-10-01 05:06:54 -0400,0,548
2014-10-01 05:08:54 -0400,0,550
2014-10-01 05:10:54 -0400,0,552
2014-10-01 05:12:54 -0400,0,554
2014-10-01 05:14:54 -0400,0,556
2014-10-01 05:16:54 -0400,0,558
2014-10-01 05:18:54 -0400,1,560
2014-10-01 05:20:54 -0400,0,562
2014-10-01 05:22:54 -0400,0,564
2014-10-01 05:24:54 -0400,0,566
2014-10-01 05:26:54 -0400,0,568
2014-10-01 05:28:54 -0400,0,570
2014-10-01 05:30:54 -0400,0,572
2014-10-01 05:32:54 -0400,0,574
2014-10-01 05:34:54 -0400,0,576
2014-10-01 05:36:54 -0400,0,578
2014-10-01 05:38:54 -0400,1,580
2014-10-01 05:40:54 -0400,0,582
2014-10-01 05:42:54 -0400,0,584
2014-10-01 05:44:54 -0400,0,586
2014-10-01 05:46:54 -0400,0,588
2014-10-01 05:48:54 -0400,0,590
2014-10-01 05:50:54 -0400,0,592
2014-10-01 05:52:54 -0400,0,594
2014-10-01 05:54:54 -0400,0,596
2014-10-01 05:56:54 -0400,0,598
2014-10-01 05:58:54 -0400,0,600
2014-10-01 06:00:54 -0400,0,602
2014-10-01 06:02:54 -0400,0,604
2014-10-01 06:04:54 -0400,0,606
2014-10-01 06:06:54 -0400,0,608
2014-10-01 06:08:54 -0400,0,610
2014-10-01 06:10:54 -0400,0,612
2014-10-01 06:12:54 -0400,0,614
2014-10-01 06:14:54 -0400,0,616
2014-10-01 06:16:54 -0400,0,618
2014-10-01 06:18:54 -0400,0,620
2014-10-01 06:20:54 -0400,0,622
2014-10-01 06:22:54 -0400,0,624
2014-10-01 06:24:54 -0400,0,626
2014-10-01 06:26:54 -0400,0,628
2014-10-01 06:28:54 -0400,0,630
2014-10-01 06:30:54 -0400,0,632
2014-10-01 06:32:54 -0400,0,634
2014-10-01 06:34:54 -0400,0,636
2014-10-01 06:36:54 -0400,0,638
2014-10-01 06:38:54 -0400,0,640
2014-10-01 06:40:54 -0400,0,642
2014-10-01 06:42:54 -0400,0,644
2014-10-01 06:44:54 -0400,0,646
2014-10-01 06:46:54 -0400,0,648
2014-10-01 06:48:54 -0400,0,650
2014-10-01 06:50:54 -0400,0,652
2014-10-01 06:52:54 -0400,0,654
2014-10-01 06:54:54 -0400,0,656
2014-10-01 06:56:54 -0400,0,658
2014-10-01 06:58:54 -0400,0,660
2014-10-01 07:00:54 -0400,1,662
2014-10-01 07:02:54 -0400,0,664
2014-10-01 07:04:54 -0400,0,666
2014-10-01 07:06:54 -0400,0,668
2014-10-01 07:08:54 -0400,0,670
2014-10-01 07:10:54 -0400,1,672
2014-10-01 07:12:54 -0400,0,674
2014-10-01 07:14:54 -0400,1,676
2014-10-01 07:16:54 -0400,0,678
2014-10-01 07:18:54 -0400,1,680
2014-10-01 07:20:54 -0400,0,682
2014-10-01 07:22:54 -0400,0,684
2014-10-01 07:24:54 -0400,0,686
2014-10-01 07:26:54 -0400,0,688
2014-10-01 07:28:54 -0400,0,690
2014-10-01 07:30:54 -0400,0,692
2014-10-01 07:32:54 -0400,0,694
2014-10-01 07:34:54 -0400,0,696
2014-10-01 07:36:54 -0400,0,698
2014-10-01 07:38:54 -0400,0,700
2014-10-01 07:40:54 -0400,1,702
2014-10-01 07:42:54 -0400,0,704
2014-10-01 07:44:54 -0400,0,706
2014-10-01 07:46:54 -0400,0,708
2014-10-01 07:48:54 -0400,0,710
