time,count,min_since_create
2014-09-30 19:59:59 -0400,,0
2014-09-30 20:00:59 -0400,14,2
2014-09-30 20:02:59 -0400,2,62
2014-09-30 20:04:59 -0400,7,122
2014-09-30 20:06:59 -0400,5,182
2014-09-30 20:08:59 -0400,2,242
2014-09-30 20:10:59 -0400,2,302
2014-09-30 20:12:59 -0400,2,362
2014-09-30 20:14:59 -0400,2,422
2014-09-30 20:16:59 -0400,2,482
2014-09-30 20:18:59 -0400,2,542
2014-09-30 20:20:59 -0400,0,602
2014-09-30 20:22:59 -0400,0,662
2014-09-30 20:24:59 -0400,0,722
2014-09-30 20:26:59 -0400,0,782
2014-09-30 20:28:59 -0400,2,842
2014-09-30 20:30:59 -0400,0,902
2014-09-30 20:32:59 -0400,2,962
2014-09-30 20:34:59 -0400,1,1022
2014-09-30 20:36:59 -0400,0,1082
2014-09-30 20:38:59 -0400,1,1142
2014-09-30 20:40:59 -0400,1,1202
2014-09-30 20:42:59 -0400,0,1262
2014-09-30 20:44:59 -0400,0,1322
2014-09-30 20:46:59 -0400,0,1382
2014-09-30 20:48:59 -0400,0,1442
2014-09-30 20:50:59 -0400,1,1502
2014-09-30 20:52:59 -0400,0,1562
2014-09-30 20:54:59 -0400,0,1622
2014-09-30 20:56:59 -0400,0,1682
2014-09-30 20:58:59 -0400,0,1742
2014-09-30 21:00:59 -0400,0,1802
2014-09-30 21:02:59 -0400,0,1862
2014-09-30 21:04:59 -0400,0,1922
2014-09-30 21:06:59 -0400,0,1982
2014-09-30 21:08:59 -0400,0,2042
2014-09-30 21:10:59 -0400,0,2102
2014-09-30 21:12:59 -0400,0,2162
2014-09-30 21:14:59 -0400,0,2222
2014-09-30 21:16:59 -0400,0,2282
2014-09-30 21:18:59 -0400,0,2342
2014-09-30 21:20:59 -0400,0,2402
2014-09-30 21:22:59 -0400,1,2462
2014-09-30 21:24:59 -0400,0,2522
2014-09-30 21:26:59 -0400,0,2582
2014-09-30 21:28:59 -0400,0,2642
2014-09-30 21:30:59 -0400,2,2702
2014-09-30 21:32:59 -0400,0,2762
2014-09-30 21:34:59 -0400,0,2822
2014-09-30 21:36:59 -0400,0,2882
2014-09-30 21:38:59 -0400,0,2942
2014-09-30 21:40:59 -0400,0,3002
2014-09-30 21:42:59 -0400,1,3062
2014-09-30 21:44:59 -0400,1,3122
2014-09-30 21:46:59 -0400,0,3182
2014-09-30 21:48:59 -0400,0,3242
2014-09-30 21:50:59 -0400,0,3302
2014-09-30 21:52:59 -0400,0,3362
2014-09-30 21:54:59 -0400,2,3422
2014-09-30 21:56:59 -0400,0,3482
2014-09-30 21:58:59 -0400,0,3542
2014-09-30 22:00:59 -0400,0,3602
2014-09-30 22:02:59 -0400,1,3662
2014-09-30 22:04:59 -0400,0,3722
2014-09-30 22:06:59 -0400,0,3782
2014-09-30 22:08:59 -0400,0,3842
2014-09-30 22:10:59 -0400,1,3902
2014-09-30 22:12:59 -0400,0,3962
2014-09-30 22:14:59 -0400,0,4022
2014-09-30 22:16:59 -0400,0,4082
2014-09-30 22:18:59 -0400,0,4142
2014-09-30 22:20:59 -0400,0,4202
2014-09-30 22:22:59 -0400,0,4262
2014-09-30 22:24:59 -0400,0,4322
2014-09-30 22:26:59 -0400,0,4382
2014-09-30 22:28:59 -0400,0,4442
2014-09-30 22:30:59 -0400,0,4502
2014-09-30 22:32:59 -0400,0,4562
2014-09-30 22:34:59 -0400,0,4622
2014-09-30 22:36:59 -0400,0,4682
2014-09-30 22:38:59 -0400,0,4742
2014-09-30 22:40:59 -0400,0,4802
2014-09-30 22:42:59 -0400,0,4862
2014-09-30 22:44:59 -0400,0,4922
2014-09-30 22:46:59 -0400,0,4982
2014-09-30 22:48:59 -0400,0,5042
2014-09-30 22:50:59 -0400,0,5102
2014-09-30 22:52:59 -0400,0,5162
2014-09-30 22:54:59 -0400,0,5222
2014-09-30 22:56:59 -0400,0,5282
2014-09-30 22:58:59 -0400,0,5342
2014-09-30 23:00:59 -0400,0,5402
