created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,retweet_count,favorite_count,entities,extended_entities,favorited,retweeted,possibly_sensitive,lang
Wed Oct 01 00:01:19 +0000 2014,517101919559376896,517101919559376896,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:01:18 +0000 2014,517101913889062913,517101913889062913,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:01:07 +0000 2014,517101869085118465,517101869085118465,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:00:48 +0000 2014,517101787069689858,517101787069689858,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:00:45 +0000 2014,517101777515462656,517101777515462656,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:00:43 +0000 2014,517101769349165057,517101769349165057,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:00:25 +0000 2014,517101694132703233,517101694132703233,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:00:24 +0000 2014,517101688994680833,517101688994680833,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:00:15 +0000 2014,517101649169776641,517101649169776641,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:00:13 +0000 2014,517101643100594177,517101643100594177,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
